config_name,repeated_cv_mean,repeated_cv_std,risk_adjusted_score,repeated_cv_min,repeated_cv_max,max_iter,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,all_scores
current_best_reference,0.8363668319628397,0.0216606023591384,0.8147062296037013,0.8033707865168539,0.8820224719101124,100,0.05,15,20,0.0,"0.84916, 0.85393, 0.81461, 0.83708, 0.83146, 0.86034, 0.83708, 0.80899, 0.84270, 0.84270, 0.81564, 0.83708, 0.88202, 0.81461, 0.83146, 0.83799, 0.80899, 0.84831, 0.80337, 0.82022, 0.80447, 0.84831, 0.88202, 0.86517, 0.83146"
light_l2_regularization,0.8354654447303999,0.0215686295197402,0.8138968152106596,0.8033707865168539,0.8820224719101124,100,0.05,15,20,0.1,"0.86034, 0.85955, 0.81461, 0.83146, 0.83146, 0.86034, 0.83146, 0.80899, 0.83146, 0.83708, 0.81564, 0.83708, 0.88202, 0.81461, 0.82584, 0.83799, 0.80899, 0.84831, 0.80337, 0.82022, 0.80447, 0.85955, 0.87640, 0.84831, 0.83708"
larger_trees,0.8329973008599586,0.020135757025413883,0.8128615438345447,0.7932960893854749,0.8820224719101124,100,0.05,31,20,0.0,"0.85475, 0.85393, 0.82584, 0.84831, 0.84270, 0.86034, 0.83708, 0.81461, 0.84831, 0.84831, 0.81564, 0.83708, 0.84831, 0.81461, 0.82022, 0.83799, 0.80337, 0.82022, 0.82022, 0.80899, 0.79330, 0.83146, 0.88202, 0.84270, 0.81461"
faster_learning_fewer_iters,0.8356901638315235,0.023142367846726724,0.8125477959847968,0.797752808988764,0.8876404494382022,70,0.08,15,20,0.0,"0.84916, 0.84831, 0.81461, 0.84270, 0.83146, 0.86034, 0.84270, 0.80899, 0.87079, 0.83708, 0.82123, 0.83708, 0.88764, 0.80899, 0.81461, 0.84358, 0.81461, 0.84831, 0.79775, 0.81461, 0.80447, 0.85393, 0.87079, 0.85393, 0.81461"
strong_l2_regularization,0.8320971690414914,0.02051140038421451,0.8115857686572769,0.797752808988764,0.8707865168539326,100,0.05,15,20,1.0,"0.84358, 0.86517, 0.82022, 0.83708, 0.85393, 0.85475, 0.82022, 0.81461, 0.83708, 0.83146, 0.81564, 0.83146, 0.86517, 0.81461, 0.81461, 0.85475, 0.81461, 0.83146, 0.79775, 0.82584, 0.79888, 0.84270, 0.87079, 0.84270, 0.80337"
slower_learning_more_iters,0.8327725817588351,0.021278439137708993,0.8114941426211261,0.7988826815642458,0.8707865168539326,200,0.03,15,20,0.0,"0.86034, 0.84831, 0.80899, 0.84270, 0.84270, 0.86034, 0.83708, 0.80899, 0.85955, 0.82584, 0.81006, 0.83146, 0.87079, 0.80899, 0.82584, 0.83240, 0.81461, 0.84831, 0.80337, 0.82022, 0.79888, 0.83708, 0.87079, 0.84270, 0.80899"
more_min_samples_leaf,0.8368150147511142,0.025639504622186813,0.8111755101289274,0.776536312849162,0.8770949720670391,100,0.05,15,30,0.0,"0.87709, 0.87079, 0.81461, 0.83146, 0.84831, 0.86034, 0.83146, 0.79775, 0.84831, 0.85955, 0.81006, 0.83146, 0.87640, 0.81461, 0.84270, 0.84916, 0.83708, 0.84270, 0.80337, 0.82022, 0.77654, 0.83708, 0.87640, 0.84831, 0.81461"
less_min_samples_leaf,0.8334542715460423,0.02268778824255537,0.810766483303487,0.776536312849162,0.8707865168539326,100,0.05,15,10,0.0,"0.84916, 0.84831, 0.81461, 0.83146, 0.85955, 0.84358, 0.82584, 0.80337, 0.85955, 0.83708, 0.82682, 0.84270, 0.87079, 0.83146, 0.83146, 0.83240, 0.82022, 0.82584, 0.81461, 0.83708, 0.77654, 0.86517, 0.86517, 0.83708, 0.78652"
large_tree_regularized,0.8354616784884815,0.026651032872069467,0.808810645616412,0.7921348314606742,0.8820224719101124,150,0.04,31,30,0.1,"0.87709, 0.87079, 0.79213, 0.83146, 0.84270, 0.85475, 0.81461, 0.82022, 0.84270, 0.85955, 0.80447, 0.82584, 0.86517, 0.79775, 0.84270, 0.86034, 0.83708, 0.83146, 0.79775, 0.82022, 0.79888, 0.85393, 0.88202, 0.85955, 0.80337"
small_tree_l2,0.8298487226162827,0.022178839231159785,0.8076698833851229,0.7921348314606742,0.8707865168539326,150,0.04,7,20,0.1,"0.83240, 0.85955, 0.79213, 0.83708, 0.82584, 0.86034, 0.81461, 0.80337, 0.83146, 0.85955, 0.82682, 0.82022, 0.85955, 0.80899, 0.83708, 0.86034, 0.81461, 0.82022, 0.79775, 0.81461, 0.79330, 0.83146, 0.87079, 0.84270, 0.83146"
smaller_trees_more_regular,0.8280484589793484,0.021873520672931985,0.8061749383064164,0.7877094972067039,0.8707865168539326,100,0.05,7,20,0.0,"0.84916, 0.84831, 0.79775, 0.82584, 0.82022, 0.85475, 0.80899, 0.79775, 0.82584, 0.84270, 0.83240, 0.82584, 0.85955, 0.81461, 0.84270, 0.86034, 0.82022, 0.81461, 0.79775, 0.80337, 0.78771, 0.82584, 0.87079, 0.84270, 0.83146"
