segment,value,rows,errors,error_rate,survival_rate,predicted_survival_rate
Title,Rare,23,8,0.34782608695652173,0.34782608695652173,0.5217391304347826
Pclass,1.0,216,50,0.23148148148148148,0.6296296296296297,0.6018518518518519
Embarked,C,168,33,0.19642857142857142,0.5535714285714286,0.4880952380952381
Embarked,Q,77,15,0.19480519480519481,0.38961038961038963,0.42857142857142855
AgeBin,teen,70,13,0.18571428571428572,0.42857142857142855,0.4142857142857143
FareBin,"(14.454, 31.0]",222,41,0.18468468468468469,0.45495495495495497,0.44144144144144143
AgeBin,senior,22,4,0.18181818181818182,0.22727272727272727,0.13636363636363635
FareBin,"(31.0, 512.329]",222,40,0.18018018018018017,0.581081081081081,0.5540540540540541
AgeBin,young_adult,358,63,0.17597765363128492,0.38268156424581007,0.3240223463687151
AgeBin,adult,195,33,0.16923076923076924,0.4,0.3641025641025641
Title,Miss,185,31,0.16756756756756758,0.7027027027027027,0.7621621621621621
FareBin,"(7.91, 14.454]",224,37,0.16517857142857142,0.30357142857142855,0.20089285714285715
Sex,male,577,95,0.16464471403812825,0.18890814558058924,0.10745233968804159
Title,Mr,517,84,0.16247582205029013,0.15667311411992263,0.059961315280464215
Pclass,3.0,491,79,0.16089613034623218,0.24236252545824846,0.18329938900203666
Sex,female,314,50,0.1592356687898089,0.7420382165605095,0.7802547770700637
Title,Mrs,126,19,0.15079365079365079,0.7936507936507936,0.8015873015873016
Embarked,S,644,97,0.15062111801242237,0.33695652173913043,0.2950310559006211
AgeBin,nan,177,25,0.14124293785310735,0.2937853107344633,0.2542372881355932
FareBin,"(-0.001, 7.91]",223,27,0.1210762331838565,0.19730941704035873,0.18385650224215247
AgeBin,child,69,7,0.10144927536231885,0.5797101449275363,0.6231884057971014
Pclass,2.0,184,16,0.08695652173913043,0.47282608695652173,0.47282608695652173
Title,Master,40,3,0.075,0.575,0.55
Embarked,nan,2,0,0.0,1.0,1.0
