feature,value,passenger_count,survived_count,survival_rate
SurnameGroupSize,1,447,149.0,0.3333333333333333
SurnameGroupSize,2,168,80.0,0.47619047619047616
SurnameGroupSize,3,121,63.0,0.5206611570247934
SurnameGroupSize,4,62,24.0,0.3870967741935484
SurnameGroupSize,6,45,13.0,0.28888888888888886
SurnameGroupSize,5,19,7.0,0.3684210526315789
SurnameGroupSize,11,16,2.0,0.125
SurnameGroupSize,8,10,3.0,0.3
SurnameGroupSize,7,3,1.0,0.3333333333333333
SurnamePclassGroupSize,1,473,159.0,0.3361522198731501
SurnamePclassGroupSize,2,174,85.0,0.4885057471264368
SurnamePclassGroupSize,3,113,60.0,0.5309734513274337
SurnamePclassGroupSize,4,63,25.0,0.3968253968253968
SurnamePclassGroupSize,6,31,5.0,0.16129032258064516
SurnamePclassGroupSize,11,16,2.0,0.125
SurnamePclassGroupSize,5,11,3.0,0.2727272727272727
SurnamePclassGroupSize,8,10,3.0,0.3
SurnameTicketGroupSize,1,577,183.0,0.317157712305026
SurnameTicketGroupSize,2,155,85.0,0.5483870967741935
SurnameTicketGroupSize,3,75,49.0,0.6533333333333333
SurnameTicketGroupSize,4,25,18.0,0.72
SurnameTicketGroupSize,6,21,2.0,0.09523809523809523
SurnameTicketGroupSize,5,14,2.0,0.14285714285714285
SurnameTicketGroupSize,7,11,3.0,0.2727272727272727
SurnameTicketGroupSize,11,7,0.0,0.0
SurnameTicketGroupSize,8,6,0.0,0.0
IsSoloSurname,1,447,149.0,0.3333333333333333
IsSoloSurname,0,444,193.0,0.4346846846846847
IsSmallSurnameGroup,0,602,199.0,0.33056478405315615
IsSmallSurnameGroup,1,289,143.0,0.49480968858131485
IsLargeSurnameGroup,0,736,292.0,0.3967391304347826
IsLargeSurnameGroup,1,155,50.0,0.3225806451612903
IsLargeSurnamePclassGroup,0,760,304.0,0.4
IsLargeSurnamePclassGroup,1,131,38.0,0.2900763358778626
