Surname,passenger_count,survived_count,survival_rate,passenger_ids,names
Andersson,9,2,0.2222222222222222,"14, 69, 120, 147, 542, 543, 611, 814, 851","Andersson, Mr. Anders Johan | Andersson, Miss. Erna Alexandra | Andersson, Miss. Ellis Anna Maria | Andersson, Mr. August Edvard (""Wennerstrom"") | Andersson, Miss. Ingeborg Constanzia | Andersson, Miss. Sigrid Elisabeth | Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren) | Andersson, Miss. Ebba Iris Alfrida | Andersson, Master. Sigvard Harald Elias"
Sage,7,0,0.0,"160, 181, 202, 325, 793, 847, 864","Sage, Master. Thomas Henry | Sage, Miss. Constance Gladys | Sage, Mr. Frederick | Sage, Mr. George John Jr | Sage, Miss. Stella Anna | Sage, Mr. Douglas Bullen | Sage, Miss. Dorothy Edith ""Dolly"""
Carter,6,4,0.6666666666666666,"250, 391, 436, 764, 803, 855","Carter, Rev. Ernest Courtenay | Carter, Mr. William Ernest | Carter, Miss. Lucile Polk | Carter, Mrs. William Ernest (Lucile Polk) | Carter, Master. William Thornton II | Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
Johnson,6,3,0.5,"9, 173, 303, 598, 720, 870","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg) | Johnson, Miss. Eleanor Ileen | Johnson, Mr. William Cahoone Jr | Johnson, Mr. Alfred | Johnson, Mr. Malkolm Joackim | Johnson, Master. Harold Theodor"
Goodwin,6,0,0.0,"60, 72, 387, 481, 679, 684","Goodwin, Master. William Frederick | Goodwin, Miss. Lillian Amy | Goodwin, Master. Sidney Leonard | Goodwin, Master. Harold Victor | Goodwin, Mrs. Frederick (Augusta Tyler) | Goodwin, Mr. Charles Edward"
Panula,6,0,0.0,"51, 165, 267, 639, 687, 825","Panula, Master. Juha Niilo | Panula, Master. Eino Viljami | Panula, Mr. Ernesti Arvid | Panula, Mrs. Juha (Maria Emilia Ojala) | Panula, Mr. Jaako Arnold | Panula, Master. Urho Abraham"
Skoog,6,0,0.0,"64, 168, 361, 635, 643, 820","Skoog, Master. Harald | Skoog, Mrs. William (Anna Bernhardina Karlsson) | Skoog, Mr. Wilhelm | Skoog, Miss. Mabel | Skoog, Miss. Margit Elizabeth | Skoog, Master. Karl Thorsten"
Rice,5,0,0.0,"17, 172, 279, 788, 886","Rice, Master. Eugene | Rice, Master. Arthur | Rice, Master. Eric | Rice, Master. George Hugh | Rice, Mrs. William (Margaret Norton)"
Baclini,4,4,1.0,"449, 470, 645, 859","Baclini, Miss. Marie Catherine | Baclini, Miss. Helene Barbara | Baclini, Miss. Eugenie | Baclini, Mrs. Solomon (Latifa Qurban)"
Asplund,4,3,0.75,"26, 183, 234, 262","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson) | Asplund, Master. Clarence Gustaf Hugo | Asplund, Miss. Lillian Gertrud | Asplund, Master. Edvin Rojj Felix"
